id_sector,nombre_sector
1,Índice general
2,Alimentos y bebidas no alcohólicas
3,Bebidas alcohólicas y tabaco
4,Vestido y calzado
5,"Vivienda, agua, electricidad, gas y otros combustibles"
6,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar"
7,Sanidad
8,Transporte
9,Información y comunicaciones
10,"Actividades recreativas, deporte y cultura"
11,Enseñanza
12,Restaurantes y servicios de alojamiento
13,Seguros y servicios financieros
14,"Cuidado personal, protección social, y bienes y servicios diversos"
